,ranks,title,singer,genre
0,1,"
벌써 일년
",브라운 아이즈,R&B/Soul
1,2,"
I Love You
",포지션,발라드
2,3,"
미안해요
",김건모,발라드
3,4,"
또 한번 사랑은 가고
",이기찬,발라드
4,5,"
화장을 고치고
",왁스,발라드
5,6,"
먼곳에서
",박효신,발라드
6,7,"
당신은 모르실거야 (CF - LIG 핑클편)
",핑클 (Fin.K.L),발라드
7,8,"
길
",god,발라드
8,9,"
다시 사랑한다 말할까
",김동률,발라드
9,10,"
Special Night
",양파,발라드
10,11,"
제발
",이소라,발라드
11,12,"
Baby Baby
",조규찬,발라드
12,13,"
내게 오는 길
",성시경,발라드
13,14,"
좋은 사람 (Feat. 김형중)
",토이,발라드
14,15,"
하루
",김범수,발라드
15,16,"
사진속에 담긴 추억
",임재범,발라드
16,17,"
내게 와 줘
",YB,록/메탈
17,18,"
시간이 흐른 뒤 (As Time Goes By)
",윤미래,R&B/Soul
18,19,"
편지 (Original Ver.)
",최재훈,발라드
19,20,"
Good Life
",드렁큰 타이거,랩/힙합
20,21,"
하나의 사랑
",박상민,발라드
21,22,"
Je T'aime
",해이,발라드
22,23,"
천만에요
",애즈원,R&B/Soul
23,24,"
기다리는 이유
",임창정,발라드
24,25,"
떠난 너
",김현정,댄스
25,26,"
너를 위해
",임재범,발라드
26,27,"
A-Yo
",지누션,랩/힙합
27,28,"
Double
",김건모,댄스
28,29,"
Jumpo Mambo
",쿨 (COOL),댄스
29,30,"
밤이 깊었네
",크라잉넛 (CRYING NUT),"인디음악, 록/메탈"
30,31,"
눈물
",박화요비,R&B/Soul
31,32,"
고백
",이승철,댄스
32,33,"
미소천사
",성시경,댄스
33,34,"
난 여자가 있는데 (CF - 컴팩 프리자리오)
",박진영,댄스
34,35,"
파란
",코요태,댄스
35,36,"
처음처럼
",성시경,발라드
36,37,"
오빠
",왁스,댄스
37,38,"
Endless
",플라워,록/메탈
38,39,"
Change
",소찬휘,댄스
39,40,"
You Mean Everything To Me
",박정현,R&B/Soul
40,41,"
먼 훗날
",조 트리오,발라드
41,42,"
믿을진 모르겠지만…
",김진표,랩/힙합
42,43,"
아름다운 날들
",장혜진,발라드
43,44,"
꿈을 모아서 (Just In Love)
",S.E.S.,댄스
44,45,"
You're My Life
",김민종,발라드
45,46,"
하루
",박혜경,록/메탈
46,47,"
추락
",백지영,댄스
47,48,"
감싸 안으며 (Show Me Your Love)
",S.E.S.,댄스
48,49,"
동경
",박효신,발라드
49,50,"
구리뱅뱅 (Feat. 1kyne, 난아)
",YDG,랩/힙합
50,51,"
With Coffee...
",브라운 아이즈,R&B/Soul
51,52,"
I Believe
",신승훈,"발라드, 국내영화"
52,53,"
I Love You
",차태현,댄스
53,54,"
빛
",제이,R&B/Soul
54,55,"
바보
",박효신,R&B/Soul
55,56,"
북극성
",강타 (KANGTA),발라드
56,57,"
잘가요... 내 사랑...
",조성모,발라드
57,58,"
가져가
",홍경민,댄스
58,59,"
Wow (Ver.2)
",유승준,댄스
59,60,"
난 남자다
",김장훈,록/메탈
60,61,"
파도
",유엔,댄스
61,62,"
축복
",강성훈,발라드
62,63,"
새
",싸이 (PSY),랩/힙합
63,64,"
Sweety
",샵,댄스
64,65,"
I' ll Be There
",이브,록/메탈
65,66,"
약속
",플라이 투 더 스카이,R&B/Soul
66,67,"
Crying
",플라워,록/메탈
67,68,"
휘파람
",CB Mass,랩/힙합
68,69,"
항상 엔진을 켜둘께
",델리스파이스,"인디음악, 록/메탈"
69,70,"
이연(異緣)
",신성우,록/메탈
70,71,"
Hey, Come On !
",신화,댄스
71,72,"
백전무패 (百戰無敗)
",클릭비 (Click-B),댄스
72,73,"
사랑하니까
",문차일드,록/메탈
73,74,"
Love Is (Dance Mega Mix Ver.)
",터보,댄스
74,75,"
선물
",유엔,발라드
75,76,"
Never Again
",이수영,발라드
76,77,"
인형 (Duet. 신혜성)
",이지훈,발라드
77,78,"
끝 (End)
",샤크라,댄스
78,79,"
희생
",김경호,록/메탈
79,80,"
혼잣말
",김장훈,발라드
80,81,"
연인(戀人)
",박상민,발라드
81,82,"
환상속의 그대
",서태지,록/메탈
82,83,"
어제 오늘 그리고
",유승준,댄스
83,84,"
기억이란 사랑보다
",이문세,발라드
84,85,"
다가라
",엄정화,댄스
85,86,"
가장 슬픈 말
",제이,R&B/Soul
86,87,"
기도
",정일영,"발라드, 국내드라마"
87,88,"
흐린 가을 하늘에 편지를 써
",엄태환,포크/블루스
88,89,"
끝
",싸이 (PSY),랩/힙합
89,90,"
그대만의 나이길 (Feat. 김연우)
",내추럴 플러스,발라드
90,91,"
봄날은 간다
",김윤아,록/메탈
91,92,"
The End
",이현우,발라드
92,93,"
해변 Mood Song
",윤종신,발라드
93,94,"
백일기도
",샵,댄스
94,95,"
내 입술... 따뜻한 커피처럼
",샵,발라드
95,96,"
그런 일은
",박화요비,R&B/Soul
96,97,"
사미인곡
",서문탁,록/메탈
97,98,"
니가 필요해
",god,댄스
98,99,"
오늘까지만
",김조한,R&B/Soul
99,100,"
다짐
",조성모,댄스
